#IA B C M 
 0 200000 200000 0  
 1 79886 79886 120114  
 2 37070 37070 162930  
 3 19586 19586 180414  
 4 11636 11636 188364  
 5 7565 7565 192435  
 6 5348 5348 194652  
 7 3961 3961 196039  
 8 3129 3129 196871  
 9 2523 2523 197477  
 10 2137 2137 197863  
 11 1848 1848 198152  
 12 1648 1648 198352  
 13 1519 1519 198481  
 14 1436 1436 198564  
 15 1394 1394 198606  
 16 1375 1375 198625  
 17 1360 1360 198640  
 18 1356 1356 198644  
 19 1351 1351 198649  
 20 1348 1348 198652  
 21 1342 1342 198658  
 22 1340 1340 198660  
 23 1333 1333 198667  
 24 1328 1328 198672  
 25 1327 1327 198673  
 26 1325 1325 198675  
 27 1318 1318 198682  
 28 1314 1314 198686  
 29 1304 1304 198696  
 30 1301 1301 198699  
 31 1298 1298 198702  
 32 1294 1294 198706  
 33 1292 1292 198708  
 34 1289 1289 198711  
 35 1286 1286 198714  
 36 1281 1281 198719  
 37 1278 1278 198722  
 38 1276 1276 198724  
 39 1275 1275 198725  
 40 1270 1270 198730  
 41 1269 1269 198731  
 42 1264 1264 198736  
 43 1260 1260 198740  
 44 1257 1257 198743  
 45 1254 1254 198746  
 46 1253 1253 198747  
 47 1249 1249 198751  
 48 1243 1243 198757  
 49 1236 1236 198764  
 50 1236 1236 198764  
 51 1235 1235 198765  
 52 1231 1231 198769  
 53 1230 1230 198770  
 54 1226 1226 198774  
 55 1224 1224 198776  
 56 1221 1221 198779  
 57 1217 1217 198783  
 58 1216 1216 198784  
 59 1215 1215 198785  
 60 1210 1210 198790  
 61 1209 1209 198791  
 62 1209 1209 198791  
 63 1208 1208 198792  
 64 1204 1204 198796  
 65 1201 1201 198799  
 66 1199 1199 198801  
 67 1197 1197 198803  
 68 1195 1195 198805  
 69 1194 1194 198806  
 70 1189 1189 198811  
 71 1189 1189 198811  
 72 1186 1186 198814  
 73 1181 1181 198819  
 74 1178 1178 198822  
 75 1174 1174 198826  
 76 1174 1174 198826  
 77 1169 1169 198831  
 78 1166 1166 198834  
 79 1162 1162 198838  
 80 1160 1160 198840  
 81 1160 1160 198840  
 82 1159 1159 198841  
 83 1155 1155 198845  
 84 1154 1154 198846  
 85 1151 1151 198849  
 86 1149 1149 198851  
 87 1148 1148 198852  
 88 1147 1147 198853  
 89 1146 1146 198854  
 90 1143 1143 198857  
 91 1141 1141 198859  
 92 1141 1141 198859  
 93 1141 1141 198859  
 94 1141 1141 198859  
 95 1139 1139 198861  
 96 1139 1139 198861  
 97 1138 1138 198862  
 98 1135 1135 198865  
 99 1135 1135 198865  
 
